what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1323040445734
started,bundle,com.atlassian.connector.eclipse.jira.core,2.3.0.v20100901,"com.atlassian.connector.eclipse.jira.core",1323040446590
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1323040447207
started,bundle,com.atlassian.connector.eclipse.commons.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.commons.ui",1323040447608
started,bundle,com.atlassian.connector.eclipse.jira.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.jira.ui",1323040447912
started,bundle,org.codehaus.groovy,1.7.10.xx-20110918-1400-e36,"org.codehaus.groovy",1323040448476
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1323040449575
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1323040450017
started,bundle,com.springsource.sts.ide.configurator,2.7.2.201109131000-RELEASE,"com.springsource.sts.ide.configurator",1323040453189
started,bundle,com.springsource.sts.ide.ui,2.7.2.201109131000-RELEASE,"com.springsource.sts.ide.ui",1323040453206
started,bundle,com.springsource.sts.runtimeerroranalysis,2.7.2.201109131000-RELEASE,"com.springsource.sts.runtimeerroranalysis",1323040453293
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1323040454431
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511,"org.eclipse.wst.server.core",1323040454797
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1323040454857
started,bundle,com.atlassian.connector.eclipse.branding.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.branding.ui",1323040454938
started,bundle,com.atlassian.connector.eclipse.monitor.ui,2.3.0.v20100901,"com.atlassian.connector.eclipse.monitor.ui",1323040455250
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1323040455554
started,bundle,com.springsource.sts.server.insight.ui,2.7.2.201109131000-RELEASE,"com.springsource.sts.server.insight.ui",1323040455986
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1323040456448
started,bundle,org.codehaus.groovy.eclipse.dsl,2.5.2.xx-20110918-1400-e36,"org.codehaus.groovy.eclipse.dsl",1323040456620
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1323040456757
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1323040456999
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1323040457063
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1323040457149
started,bundle,oracle.eclipse.tools.glassfish,3.2.3.201106220649,"oracle.eclipse.tools.glassfish",1323040457218
started,bundle,org.eclipse.jst.server.core,1.2.102.v20110309,"org.eclipse.jst.server.core",1323040459578
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1323040464638
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1323040464638
started,bundle,org.springframework.ide.eclipse.uaa,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.uaa",1323040464965
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1323040465230
started,bundle,com.aptana.portal.ui,3.0.0.1316445268,"com.aptana.portal.ui",1323040465354
started,bundle,com.aptana.scripting,3.0.0.1319572975,"com.aptana.scripting",1323040465604
started,bundle,com.aptana.scripting.ui,3.0.0.1311950158,"com.aptana.scripting.ui",1323040465672
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1323040466915
started,bundle,com.aptana.theme,3.0.0.1314215021,"com.aptana.theme",1323040469355
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110819-1700,"org.eclipse.team.svn.core",1323040469377
started,bundle,com.aptana.usage,3.0.0.1319572975,"com.aptana.usage",1323040469716
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110819-1700,"org.eclipse.team.svn.ui",1323040471975
started,bundle,com.aptana.console,3.0.0.1311641900,"com.aptana.console",1323040481151
started,bundle,org.python.pydev.debug,2.2.2.2011100512,"org.python.pydev.debug",1323040481652
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.javahl16",1323040481679
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1323040481774
started,bundle,com.python.pydev.analysis,2.2.2.2011100512,"com.python.pydev.analysis",1323040484452
started,bundle,org.python.pydev,2.2.2.2011100512,"org.python.pydev",1323040485593
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1323040488994
started,bundle,org.python.pydev.red_core,2.2.2.2011100512,"org.python.pydev.red_core",1323040507093
started,bundle,com.aptana.ui,3.0.3.1314215016,"com.aptana.ui",1323040507840
started,bundle,com.aptana.core.io,3.0.3.1314315087,"com.aptana.core.io",1323040523233
started,bundle,com.aptana.syncing.core,3.0.0.1308864319,"com.aptana.syncing.core",1323040523408
