127.0.0.1 - - [13/Mar/2012:18:42:41 -0400] "GET /wexpression/ HTTP/1.1" 302 -
127.0.0.1 - - [13/Mar/2012:18:42:44 -0400] "GET /wexpression/signin HTTP/1.1" 200 337
127.0.0.1 - - [13/Mar/2012:18:45:50 -0400] "GET /wexpression/resources/flash/DistanceMapTest.html HTTP/1.1" 200 5798
127.0.0.1 - - [13/Mar/2012:18:45:50 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 200 365
127.0.0.1 - - [13/Mar/2012:18:45:50 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 200 24650
127.0.0.1 - - [13/Mar/2012:18:45:50 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 200 25574
127.0.0.1 - - [13/Mar/2012:18:45:51 -0400] "GET /wexpression/resources/flash/DistanceMapTest.swf HTTP/1.1" 200 94398
127.0.0.1 - - [13/Mar/2012:18:45:52 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [13/Mar/2012:18:45:52 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 200 312694
127.0.0.1 - - [13/Mar/2012:18:45:52 -0400] "GET /wexpression/resources/flash/framework_4.6.0.23201.swf HTTP/1.1" 200 542900
127.0.0.1 - - [13/Mar/2012:18:45:52 -0400] "GET /wexpression/resources/flash/spark_4.6.0.23201.swf HTTP/1.1" 200 776202
127.0.0.1 - - [13/Mar/2012:18:45:53 -0400] "GET /wexpression/resources/flash/templates/dog.png HTTP/1.1" 200 70575
127.0.0.1 - - [13/Mar/2012:18:46:10 -0400] "GET /wexpression/resources/flash/DistanceMapTest.html HTTP/1.1" 200 5798
127.0.0.1 - - [13/Mar/2012:18:46:10 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 200 365
127.0.0.1 - - [13/Mar/2012:18:46:10 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 200 24650
127.0.0.1 - - [13/Mar/2012:18:46:10 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 200 25574
127.0.0.1 - - [13/Mar/2012:18:46:12 -0400] "GET /wexpression/resources/flash/DistanceMapTest.swf HTTP/1.1" 200 94398
127.0.0.1 - - [13/Mar/2012:18:46:13 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:46:13 -0400] "GET /wexpression/resources/flash/framework_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:46:13 -0400] "GET /wexpression/resources/flash/spark_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:48:27 -0400] "GET /wexpression/resources/flash/DistanceMapTest.html HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:48:28 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:48:28 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:48:28 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:48:29 -0400] "GET /wexpression/resources/flash/DistanceMapTest.swf HTTP/1.1" 200 94394
127.0.0.1 - - [13/Mar/2012:18:48:29 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [13/Mar/2012:18:51:24 -0400] "GET /wexpression/resources/flash/DistanceMapTest.html HTTP/1.1" 200 5798
127.0.0.1 - - [13/Mar/2012:18:51:26 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 200 365
127.0.0.1 - - [13/Mar/2012:18:51:26 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 200 25574
127.0.0.1 - - [13/Mar/2012:18:51:26 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 200 24650
127.0.0.1 - - [13/Mar/2012:18:51:27 -0400] "GET /wexpression/resources/flash/DistanceMapTest.swf HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:51:27 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:18:51:27 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [13/Mar/2012:19:21:21 -0400] "GET /wexpression/resources/flash/DistanceMapTest.html HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:19:21:21 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:19:21:21 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:19:21:21 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:19:21:22 -0400] "GET /wexpression/resources/flash/DistanceMapTest.swf HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:19:21:22 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2012:19:21:22 -0400] "GET /favicon.ico HTTP/1.1" 404 988
