127.0.0.1 - - [22/Mar/2012:05:33:41 -0400] "GET / HTTP/1.1" 404 955
127.0.0.1 - - [22/Mar/2012:05:33:48 -0400] "GET /wexpression/ HTTP/1.1" 302 -
127.0.0.1 - - [22/Mar/2012:05:33:49 -0400] "GET /wexpression/signin HTTP/1.1" 200 337
127.0.0.1 - - [22/Mar/2012:05:33:49 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [22/Mar/2012:05:33:51 -0400] "POST /wexpression/signin/facebook HTTP/1.1" 302 -
127.0.0.1 - - [22/Mar/2012:05:33:54 -0400] "GET /wexpression/signin/facebook?code=AQArTTTvRh9GbfXCqnqJxrJUKwfodfAKC1DKD0xPP_5QJtEkUu8OqNInIyynf2UYuIKZQTOVhNe6dqSzDageO166sQG7FlpK7u-YBWiYHKn08BkrVBgv10ZpUN2mqeIZevs4jiBRRCdOf2Xz5Mhd_dAtu-cTcJWGJ6Dxp46qasvqW3OT_lZcgh2zhiX97ktOyaE HTTP/1.1" 302 -
127.0.0.1 - - [22/Mar/2012:05:34:00 -0400] "GET /wexpression/ HTTP/1.1" 200 5051
127.0.0.1 - - [22/Mar/2012:05:34:00 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 200 365
127.0.0.1 - - [22/Mar/2012:05:34:00 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 200 24650
127.0.0.1 - - [22/Mar/2012:05:34:00 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 200 25574
127.0.0.1 - - [22/Mar/2012:05:34:00 -0400] "GET /wexpression/resources/flash/WexpressionClient.swf HTTP/1.1" 200 386878
127.0.0.1 - - [22/Mar/2012:05:34:00 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [22/Mar/2012:05:34:01 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 200 312694
127.0.0.1 - - [22/Mar/2012:05:34:02 -0400] "GET /wexpression/resources/flash/framework_4.6.0.23201.swf HTTP/1.1" 200 542900
127.0.0.1 - - [22/Mar/2012:05:34:02 -0400] "GET /wexpression/resources/flash/rpc_4.6.0.23201.swf HTTP/1.1" 200 209451
127.0.0.1 - - [22/Mar/2012:05:34:02 -0400] "GET /wexpression/resources/flash/mx_4.6.0.23201.swf HTTP/1.1" 200 528317
127.0.0.1 - - [22/Mar/2012:05:34:02 -0400] "GET /wexpression/resources/flash/spark_4.6.0.23201.swf HTTP/1.1" 200 776202
127.0.0.1 - - [22/Mar/2012:05:34:03 -0400] "GET /wexpression/resources/templates/heart.png HTTP/1.1" 200 172115
127.0.0.1 - - [22/Mar/2012:05:34:04 -0400] "GET /wexpression/wordlists/402880e53639c112013639c16c0d0000? HTTP/1.1" 200 15477
127.0.0.1 - - [22/Mar/2012:05:39:05 -0400] "GET /wexpression/ HTTP/1.1" 200 5051
127.0.0.1 - - [22/Mar/2012:05:39:08 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:08 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:08 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:09 -0400] "GET /wexpression/resources/flash/WexpressionClient.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:09 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [22/Mar/2012:05:39:09 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:09 -0400] "GET /wexpression/resources/flash/framework_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:09 -0400] "GET /wexpression/resources/flash/rpc_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:09 -0400] "GET /wexpression/resources/flash/mx_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:10 -0400] "GET /wexpression/resources/flash/spark_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:39:11 -0400] "GET /wexpression/wordlists/402880e53639c112013639c6176e0001? HTTP/1.1" 200 15585
127.0.0.1 - - [22/Mar/2012:05:41:12 -0400] "GET /wexpression/ HTTP/1.1" 200 5051
127.0.0.1 - - [22/Mar/2012:05:41:13 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 200 365
127.0.0.1 - - [22/Mar/2012:05:41:13 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 200 24650
127.0.0.1 - - [22/Mar/2012:05:41:13 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 200 25574
127.0.0.1 - - [22/Mar/2012:05:41:13 -0400] "GET /wexpression/resources/flash/WexpressionClient.swf HTTP/1.1" 200 387320
127.0.0.1 - - [22/Mar/2012:05:41:13 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [22/Mar/2012:05:41:14 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:41:14 -0400] "GET /wexpression/resources/flash/framework_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:41:14 -0400] "GET /wexpression/resources/flash/rpc_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:41:14 -0400] "GET /wexpression/resources/flash/mx_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:41:14 -0400] "GET /wexpression/resources/flash/spark_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:41:15 -0400] "GET /wexpression/wordlists/402880e53639c112013639c808200002? HTTP/1.1" 200 15636
127.0.0.1 - - [22/Mar/2012:05:43:55 -0400] "GET /wexpression/ HTTP/1.1" 200 5051
127.0.0.1 - - [22/Mar/2012:05:43:56 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 200 24650
127.0.0.1 - - [22/Mar/2012:05:43:56 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 200 25574
127.0.0.1 - - [22/Mar/2012:05:43:56 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 200 365
127.0.0.1 - - [22/Mar/2012:05:43:56 -0400] "GET /wexpression/resources/flash/WexpressionClient.swf HTTP/1.1" 200 387456
127.0.0.1 - - [22/Mar/2012:05:43:57 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [22/Mar/2012:05:43:57 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:43:57 -0400] "GET /wexpression/resources/flash/framework_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:43:57 -0400] "GET /wexpression/resources/flash/rpc_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:43:57 -0400] "GET /wexpression/resources/flash/mx_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:43:57 -0400] "GET /wexpression/resources/flash/spark_4.6.0.23201.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:43:58 -0400] "GET /wexpression/wordlists/402880e53639c112013639ca83fa0003? HTTP/1.1" 200 15935
127.0.0.1 - - [22/Mar/2012:05:44:47 -0400] "GET /wexpression/ HTTP/1.1" 200 5051
127.0.0.1 - - [22/Mar/2012:05:44:51 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 200 365
127.0.0.1 - - [22/Mar/2012:05:44:51 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 200 24650
127.0.0.1 - - [22/Mar/2012:05:44:51 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 200 25574
127.0.0.1 - - [22/Mar/2012:05:44:51 -0400] "GET /wexpression/resources/flash/WexpressionClient.swf HTTP/1.1" 200 387459
127.0.0.1 - - [22/Mar/2012:05:44:51 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [22/Mar/2012:05:44:53 -0400] "GET /wexpression/wordlists/402880e53639c112013639cb4d750004? HTTP/1.1" 200 15935
127.0.0.1 - - [22/Mar/2012:05:46:08 -0400] "GET /wexpression/ HTTP/1.1" 200 5051
127.0.0.1 - - [22/Mar/2012:05:46:08 -0400] "GET /wexpression/resources/flash/history/history.css HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:46:08 -0400] "GET /wexpression/resources/flash/history/history.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:46:08 -0400] "GET /wexpression/resources/flash/swfobject.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:46:09 -0400] "GET /wexpression/resources/flash/WexpressionClient.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:46:10 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [22/Mar/2012:05:46:10 -0400] "GET /wexpression/resources/flash/textLayout_2.0.0.232.swf HTTP/1.1" 304 -
127.0.0.1 - - [22/Mar/2012:05:46:10 -0400] "GET /wexpression/resources/flash/framework_4.6.0.23201.swf HTTP/1.1" 304 -
