127.0.0.1 - - [18/Apr/2012:13:08:36 -0400] "GET / HTTP/1.1" 404 955
127.0.0.1 - - [18/Apr/2012:13:30:08 -0400] "GET /wexpression/ HTTP/1.1" 302 -
127.0.0.1 - - [18/Apr/2012:13:30:14 -0400] "GET /wexpression/signin HTTP/1.1" 200 1982
127.0.0.1 - - [18/Apr/2012:13:30:14 -0400] "GET /wexpression/resources/page.css HTTP/1.1" 200 1577
127.0.0.1 - - [18/Apr/2012:13:30:14 -0400] "GET /wexpression/resources/form.css HTTP/1.1" 200 126
127.0.0.1 - - [18/Apr/2012:13:30:14 -0400] "GET /wexpression/resources/social/facebook/sign-in-with-facebook.png HTTP/1.1" 200 4242
127.0.0.1 - - [18/Apr/2012:13:30:14 -0400] "GET /wexpression/resources/messages/messages.css HTTP/1.1" 200 644
127.0.0.1 - - [18/Apr/2012:13:30:14 -0400] "GET /wexpression/resources/social/twitter/sign-in-with-twitter-d.png HTTP/1.1" 200 3306
127.0.0.1 - - [18/Apr/2012:13:30:15 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [18/Apr/2012:13:30:17 -0400] "POST /wexpression/signin/facebook HTTP/1.1" 302 -
127.0.0.1 - - [18/Apr/2012:13:30:30 -0400] "GET /wexpression/signin/facebook?code=AQCm3hhS7OlD44EhVZCbkSyg9f0XZ8SLLUWj280XO2nC87x8QR-sC83b8PxxAnNeWdMOUfTzsS18sJ2JlYlx85SeIx6podAVp8qonAuJorVdQ6qg_by-zUDZ6O90pNp6cJd02zooJPgJpr2mzJbV2MIe9RFs4RGYgwJ_nBVpayyWbXRCr0ESxtOH6gz86c9Bggk HTTP/1.1" 302 -
127.0.0.1 - - [18/Apr/2012:13:30:30 -0400] "GET /wexpression/ HTTP/1.1" 200 1114
127.0.0.1 - - [18/Apr/2012:13:30:31 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [18/Apr/2012:13:32:31 -0400] "GET /wexpression/ HTTP/1.1" 200 1114
127.0.0.1 - - [18/Apr/2012:13:32:35 -0400] "GET /wexpression/templates/ HTTP/1.1" 404 952
127.0.0.1 - - [18/Apr/2012:13:32:37 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [18/Apr/2012:13:32:45 -0400] "GET /wexpression/templates/all HTTP/1.1" 200 1314
127.0.0.1 - - [18/Apr/2012:13:32:45 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [18/Apr/2012:13:33:04 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [18/Apr/2012:13:33:28 -0400] "GET /wexpression/templates/new HTTP/1.1" 200 5994
127.0.0.1 - - [18/Apr/2012:13:33:28 -0400] "GET /wexpression/templates/resources/flash/history/history.js HTTP/1.1" 200 6024
127.0.0.1 - - [18/Apr/2012:13:33:28 -0400] "GET /wexpression/templates/resources/flash/swfobject.js HTTP/1.1" 200 6030
127.0.0.1 - - [18/Apr/2012:13:33:28 -0400] "GET /wexpression/templates/resources/flash/history/history.css HTTP/1.1" 200 6027
127.0.0.1 - - [18/Apr/2012:13:33:29 -0400] "GET /favicon.ico HTTP/1.1" 404 988
127.0.0.1 - - [18/Apr/2012:13:33:33 -0400] "GET /favicon.ico HTTP/1.1" 404 988
